"design","label","arm","mae_mean","mae_sd","rmse_mean","rmse_sd","rsq_mean","rsq_sd","rsq_trad_mean","rsq_trad_sd"
"random","D | Iu=0.4 Ix=0.4","OLS",2.37763203492786,0.092330749300879,3.22277258691863,0.16304692478904,0.45884323662101,0.0449224653589045,0.456768386805055,0.045901599063071
"random","D | Iu=0.4 Ix=0.4","SEM",2.37717846886989,0.0925240940553459,3.22267374521035,0.162833522754488,0.458862442033095,0.0448675073528315,0.456806176657072,0.0457885561076594
"random","D | Iu=0.4 Ix=0.4","XGBoost",0.994647689665836,0.0145471828205389,1.28332697434247,0.0260652473198294,0.91438278854602,0.00436512126603424,0.91384557807488,0.00476817960101043
"random","D | Iu=0.4 Ix=0.4","XGBoost + lags",0.990251408980105,0.018700261030767,1.27851979823775,0.0260519497217109,0.914854542262891,0.00261710232039846,0.914554031323976,0.00300018761922075
"random","D | Iu=0.8 Ix=0.7","GraphSAGE",0.929942409777219,0.0460968516226494,1.1721880034409,0.0558715759690518,0.935274620057173,0.00554096684640764,0.934373965332087,0.00545864558869209
"random","D | Iu=0.8 Ix=0.7","GraphSAGE + LayerNorm",0.935305400214923,0.0270451019503083,1.19456675277923,0.0361632910931857,0.932989867178419,0.00602556901600791,0.93169918374313,0.00676048159840997
"random","D | Iu=0.8 Ix=0.7","OLS",2.48583286475585,0.064217797823909,3.45954401357719,0.132141808566661,0.430855309554506,0.0294310996299361,0.429045975964136,0.0299975650545681
"random","D | Iu=0.8 Ix=0.7","SEM",2.47394633701096,0.0688090582728693,3.46790303657735,0.142711990300256,0.428169239377334,0.0330810190584752,0.426244789194691,0.0334878853990715
"random","D | Iu=0.8 Ix=0.7","XGBoost",1.01329713048548,0.0319049472091597,1.3413574741327,0.0489076465573954,0.914383162828892,0.00890851885866728,0.913834191513384,0.00930404589908185
"random","D | Iu=0.8 Ix=0.7","XGBoost + lags",1.00784588517341,0.0243866648752859,1.33940643841477,0.0366627408610615,0.914499486712603,0.00801511444481236,0.914160229241574,0.00808562344219975
"random","E | Ix=0.0","GraphSAGE",0.981716979153326,0.0242900443192586,1.23964465491104,0.0357004114838032,0.240239517104346,0.0252891546649708,0.210762783375759,0.0289932972001018
"random","E | Ix=0.0","GraphSAGE + LayerNorm",0.993879946794032,0.0270170664948159,1.25299707574428,0.0390378087422189,0.224056284707665,0.0244499785367857,0.193735940634829,0.0307134578628942
"random","E | Ix=0.0","OLS",0.93978876139064,0.0319453878913381,1.1813069003621,0.0391349232015015,0.285483980097364,0.0331768242831945,0.283230577105122,0.0330103354711807
"random","E | Ix=0.0","XGBoost",1.07067519606091,0.0285379872873635,1.35083210650484,0.0336628704379946,0.156959439093003,0.015579383048636,0.0628628734044645,0.0270087773655796
"random","E | Ix=0.0","XGBoost + lags",1.07865042547794,0.028310051547054,1.3620817497233,0.0388665014050025,0.165666808631799,0.0240750226903439,0.0472393074555055,0.0318653099143752
"random","E | Ix=0.4","GraphSAGE",0.868274022392297,0.0193053503484913,1.08901134447886,0.0227701845808242,0.448202520817513,0.0211643051199475,0.44637710738159,0.0204896164222497
"random","E | Ix=0.4","GraphSAGE + LayerNorm",0.878824328361075,0.0189520149513167,1.10462956303367,0.0261265081333881,0.432029867009711,0.0246025563524825,0.43032126932326,0.0248045220452019
"random","E | Ix=0.4","OLS",0.879262175729012,0.0184902660220802,1.10726090417745,0.0195181426828252,0.428893840965513,0.0169132851419633,0.427744490438839,0.0158603507455124
"random","E | Ix=0.4","XGBoost",1.01006089161345,0.0260478873538106,1.27474240988235,0.0239304620959901,0.296144062336761,0.0151907126157673,0.241672893645841,0.0158128164668061
"random","E | Ix=0.4","XGBoost + lags",0.974643030298792,0.0211407046347727,1.2158222297929,0.0304905072627161,0.330967748863398,0.0242508751771685,0.309915390286468,0.029419935003865
