"design","label","fold","arm","mae","rmse","rsq","rsq_trad"
"random","C | Iu=0.8",1,"SEM",0.800414415705474,0.996130913125147,0.340460657734361,0.339426957956891
"random","C | Iu=0.8",1,"GraphSAGE",0.945230754144439,1.19314728136653,0.199811585185255,0.0522885612816063
"random","C | Iu=0.8",1,"GraphSAGE + LayerNorm",0.864595844222101,1.06874199803672,0.295755985672766,0.239614612029362
"random","C | Iu=0.8",2,"OLS",0.774641248976067,0.982492825069185,0.349214920259928,0.348154428771486
"random","C | Iu=0.8",2,"SEM",0.774253535713121,0.98165217419196,0.349783881379792,0.349269429523469
"random","C | Iu=0.8",2,"GraphSAGE",0.875975661634258,1.11073314687606,0.234449326958189,0.166884126888183
"random","C | Iu=0.8",2,"GraphSAGE + LayerNorm",0.8862643886451,1.11302365146196,0.216417878831804,0.163444554937977
"random","C | Iu=0.8",3,"OLS",0.815391291255301,1.01906402410664,0.344117348386253,0.342076404449092
"random","C | Iu=0.8",3,"SEM",0.81473584001998,1.01705765010708,0.345671962834336,0.34466454668563
"random","C | Iu=0.8",3,"GraphSAGE",0.920617431905854,1.1322564838187,0.249618620937481,0.187801553080098
"random","C | Iu=0.8",3,"GraphSAGE + LayerNorm",1.03757108550578,1.27512427304115,0.142129838293013,-0.0300956376801083
"random","C | Iu=0.8",4,"OLS",0.790009692270415,0.998166195208386,0.354490653522307,0.353611919431704
"random","C | Iu=0.8",4,"SEM",0.790696281982794,0.998073280907708,0.3555263914627,0.353732251900343
"random","C | Iu=0.8",4,"GraphSAGE",0.892186296096414,1.12910806788708,0.243221884130753,0.172898810339786
"random","C | Iu=0.8",4,"GraphSAGE + LayerNorm",0.901894798244015,1.13284719431768,0.22747439348327,0.167411724106752
"random","C | Iu=0.8",5,"OLS",0.807731634201339,1.00330368393209,0.32809288706481,0.326936720617713
"random","C | Iu=0.8",5,"SEM",0.809960970184076,1.00594350109732,0.328220166632121,0.323390234203754
"random","C | Iu=0.8",5,"GraphSAGE",0.885761547876397,1.11802188474419,0.229076744818541,0.164220541691781
"random","C | Iu=0.8",5,"GraphSAGE + LayerNorm",0.908215760868468,1.13171864190853,0.220463862740718,0.143617028920893
